root | manejo_posicion | 717 | INFO | 2023-04-10 18:43:20,133 | == RSI_TARGET1 55 ==
root | manejo_posicion | 721 | INFO | 2023-04-10 18:43:20,133 | == RSI_TARGET2 60 ==
root | manejo_posicion | 725 | INFO | 2023-04-10 18:43:20,133 | == RSI_TARGET3 65 ==
root | manejo_posicion | 818 | INFO | 2023-04-10 18:43:20,133 | == STOP LOSS 25 ==
root | <module> | 940 | INFO | 2023-04-10 18:43:20,133 |  Paso 1 Minuto-Refrescando Market Data
root | market_data | 585 | INFO | 2023-04-10 18:43:20,662 |  == Market Data Actualizada ==
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:43:23,190 | BTC/USD@29277.6014
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:43:26,227 | BTC/USD@29267.817691
root | estrategia_RSI | 421 | INFO | 2023-04-10 18:43:26,232 |  HOLD or WAIT RSI
root | manejo_posicion | 699 | INFO | 2023-04-10 18:43:26,232 | == UPDATE POSICION ==
root | manejo_posicion | 701 | INFO | 2023-04-10 18:43:26,232 | == CONTRATOS EN MANO 0 ==
